EventID,Ajans,Tarih,Enlem,Boylam,Derinlik,Rms,Tip,Büyüklük,Ülke,Ýl,Ýlçe,Köy,Diðer,
374962,DDA,2017-06-06 04:15:47Z,38.6450,43.1270,2.10,0.90000,ML,3.1,Türkiye,Van,Tusba,-,-
374956,DDA,2017-06-06 03:34:16Z,38.6573,44.1156,10.73,0.34000,ML,3.0,Türkiye,Van,Özalp,-,-
374854,DDA,2017-06-04 20:04:54Z,38.3373,26.5716,14.64,0.16000,ML,3.4,Türkiye,Izmir,Urla,-,-
374851,DDA,2017-06-04 17:32:47Z,38.7611,35.3815,14.84,0.33000,ML,3.4,Türkiye,Kayseri,Kocasinan,-,-
374773,DDA,2017-06-04 03:07:17Z,37.2250,24.4015,3.73,0.49000,Mw,3.4,-,-,-,-,Ege Denizi, 5.20 km.Cyclades (Yunanistan), 198.51 km. Çesme (Izmir)
374679,DDA,2017-06-03 08:43:28Z,36.8570,42.3143,7.26,0.54000,ML,3.3,Irak,Talafar,-,-,-
374591,DDA,2017-06-02 07:55:38Z,38.7303,27.8770,7.13,0.28000,ML,3.4,Türkiye,Manisa,Gölmarmara,-,-
374489,DDA,2017-06-01 19:26:34Z,38.6266,27.5491,9.86,0.50000,ML,3.0,Türkiye,Manisa,Sehzadeler,-,-
374442,DDA,2017-06-01 13:24:03Z,38.6505,27.6285,7.64,0.90000,Mw,3.1,Türkiye,Manisa,Saruhanli,-,-
374449,DDA,2017-06-01 13:23:55Z,38.3550,27.7221,7.00,0.61000,ML,3.0,Türkiye,Izmir,Kemalpasa,-,-
374444,DDA,2017-06-01 13:19:04Z,36.8248,43.0203,18.85,0.20000,Mw,3.2,Irak,Dahuk,-,-,-
374432,DDA,2017-06-01 10:47:31Z,38.3775,27.7876,11.70,0.56000,Mw,3.6,Türkiye,Manisa,Turgutlu,-,-
374354,DDA,2017-05-31 23:30:14Z,36.4941,26.1328,29.29,0.95000,Mw,3.9,-,-,-,-,Ege Denizi, 13.46 km.Dodecanese (Yunanistan), 109.38 km. Bodrum (Mugla)
374316,DDA,2017-05-31 16:49:08Z,39.5670,38.1275,24.02,0.21000,ML,3.3,Türkiye,Sivas,Divrigi,-,-
374301,DDA,2017-05-31 13:15:56Z,38.6331,27.5355,6.97,0.44000,ML,3.0,Türkiye,Manisa,Sehzadeler,-,-
374255,DDA,2017-05-31 03:56:32Z,38.7300,27.8395,8.78,0.43000,ML,3.2,Türkiye,Manisa,Gölmarmara,-,-
374242,DDA,2017-05-31 01:25:37Z,38.3651,27.7721,7.01,0.17000,Mw,3.2,Türkiye,Manisa,Turgutlu,-,-
374218,DDA,2017-05-30 20:33:46Z,38.6226,27.6085,7.00,0.24000,Mw,3.3,Türkiye,Manisa,Sehzadeler,-,-
374201,DDA,2017-05-30 15:29:22Z,35.4025,31.5001,13.75,0.82000,Mw,4.2,-,-,-,-,Akdeniz, 78.25 km.Paphos (), 116.61 km. Gazipasa (Antalya)
374128,DDA,2017-05-30 01:28:48Z,38.7325,27.7865,10.53,0.24000,Mw,3.7,Türkiye,Manisa,Saruhanli,-,-
374116,DDA,2017-05-29 22:13:19Z,38.7516,27.8466,9.99,0.35000,ML,3.1,Türkiye,Manisa,Saruhanli,-,-
374102,DDA,2017-05-29 17:57:26Z,38.4426,43.8980,7.03,0.81000,ML,3.2,Türkiye,Van,Gürpinar,-,-
373946,DDA,2017-05-29 03:35:47Z,34.0596,32.7233,41.59,0.28000,Mw,3.9,-,-,-,-,Akdeniz, 
373920,DDA,2017-05-29 02:09:16Z,38.7545,27.7820,9.88,0.21000,ML,3.1,Türkiye,Manisa,Saruhanli,-,-
373824,DDA,2017-05-28 21:16:15Z,38.7143,27.8055,7.02,0.34000,ML,3.0,Türkiye,Manisa,Saruhanli,-,-
